,Time,Solar8000/HR
398,798.352,92
399,800.352,92
400,802.353,92
401,804.352,92
402,806.353,92
403,808.352,92
404,810.352,92
405,812.353,93
406,814.354,93
407,816.353,93
408,818.354,93
409,820.353,93
410,822.353,93
411,824.352,93
412,826.353,93
413,828.352,92
414,830.352,93
415,832.352,92
416,834.354,92
417,836.353,92
418,838.352,92
419,840.354,92
420,842.353,92
421,844.352,92
422,846.353,92
423,848.353,92
424,850.353,92
425,852.352,92
426,854.353,92
427,856.352,92
428,858.353,92
429,860.353,93
430,862.353,92
431,864.353,93
432,866.352,93
433,868.353,93
434,870.352,93
435,872.353,92
436,874.354,92
437,876.353,92
438,878.353,92
439,880.352,92
440,882.355,92
441,884.352,93
442,886.353,93
443,888.352,93
444,890.353,93
445,892.354,92
446,894.353,92
447,896.352,92
448,898.354,92
449,900.353,92
450,902.355,92
451,904.353,92
452,906.354,92
453,908.353,92
454,910.353,92
455,912.354,92
456,914.354,92
457,916.352,92
458,918.353,92
459,920.353,89
460,922.353,92
461,924.352,93
462,926.353,93
463,928.353,93
464,930.352,93
465,932.352,93
466,934.352,93
467,936.352,93
468,938.352,93
469,940.351,93
470,942.353,93
471,944.352,93
472,946.354,91
473,948.353,91
474,950.352,91
475,952.352,91
476,954.353,91
477,956.353,92
478,958.352,92
479,960.354,94
480,962.355,94
481,964.353,94
482,966.354,94
483,968.352,94
484,970.352,94
485,972.356,94
486,974.355,94
487,976.355,94
488,978.356,94
489,980.356,95
490,982.357,95
491,984.356,95
492,986.357,95
493,988.358,94
494,990.357,94
495,992.358,94
496,994.359,94
497,996.358,94
498,998.357,94
499,1000.36,94
500,1002.36,94
501,1004.36,94
502,1006.36,94
503,1008.36,93
504,1010.36,93
505,1012.36,93
506,1014.36,93
507,1016.36,92
508,1018.36,92
509,1020.36,92
510,1022.36,91
511,1024.36,91
512,1026.36,90
513,1028.36,90
514,1030.36,90
515,1032.36,90
516,1034.36,90
517,1036.36,90
518,1038.36,90
519,1040.36,89
520,1042.36,89
521,1044.36,89
522,1046.36,90
523,1048.36,90
524,1050.36,90
525,1052.36,90
526,1054.37,90
527,1056.37,90
528,1058.37,90
529,1060.37,90
530,1062.37,90
531,1064.37,90
532,1066.37,90
533,1068.37,90
534,1070.37,90
535,1072.37,90
536,1074.37,90
537,1076.37,91
538,1078.37,91
539,1080.37,91
540,1082.37,91
541,1084.37,91
542,1086.37,91
543,1088.37,90
544,1090.37,90
545,1092.37,90
